Board,Net,Component,Designator,Connector Name,,
MainSDC,IMD_Status,J1,5,,,
MainSDC,GND,J2,1,,,
MainSDC,BSPD_Control,J2,2,,,
MainSDC,BMS_Control,J2,3,,,
MainSDC,IMD_Control,J2,4,,,
MainSDC,5V_Crit,J2,5,,,
PDU,IMD_Control,J2,4,DAQ,,
PDU,GND,P2,2,DAQ,,
PDU,5V_FAN_OUT,P2,3,DAQ,,
PDU,GND,P2,4,DAQ,,
PDU,LV_BMS_RX,P1,1,LV_BAT,,
PDU,LV_BMS_TX,P1,2,LV_BAT,,
PDU,GND,P1,3,LV_BAT,,
PDU,LV_BMS_STAT,P1,5,LV_BAT,,
PDU,5V_C_MAIN,P1,6,LV_BAT,,
PDU,GLVMS_OUT,P1,A,LV_BAT,,
PDU,GND,P1,B,LV_BAT,,
PDU,SDC_FUSED,J1,1,MAIN_BASE,,
PDU,GND,J1,2,MAIN_BASE,,
PDU,TSMS_OUT,J1,3,MAIN_BASE,,
PDU,TSMS_RETURN,J1,4,MAIN_BASE,,
PDU,GND,J1,5,MAIN_BASE,,
PDU,CAN_P,J1,6,MAIN_BASE,,
PDU,CAN_N,J1,7,MAIN_BASE,,
PDU,MAIN_OUT,J1,8,MAIN_BASE,,
PDU,DASH_OUT,J1,9,MAIN_BASE,,
PDU,ABOX_OUT,J1,10,MAIN_BASE,,
PDU,GND,J1,11,MAIN_BASE,,
PDU,GND,J1,12,MAIN_BASE,,
PDU,5V_C_MAIN,J1,13,MAIN_BASE,,
PDU,5V_NC_MAIN,J1,14,MAIN_BASE,,
PDU,GLVMS_RETURN,J2,1,MAIN_D,,
PDU,GLVMS_RETURN,J2,2,MAIN_D,,
PDU,GLVMS_LED,J2,3,MAIN_D,,
PDU,PUMP1_OUT,J2,4,MAIN_D,,
PDU,PUMP2_OUT,J2,6,MAIN_D,,
PDU,FAN1_OUT,J2,8,MAIN_D,,
PDU,FAN2_OUT,J2,10,MAIN_D,,
PDU,AUX1_OUT,J2,12,MAIN_D,,
PDU,GND,J2,13,MAIN_D,,
PDU,TSMS_OUT,J2,14,MAIN_D,,
PDU,TSMS_RETURN,J2,15,MAIN_D,,
PDU,GND,J2,16,MAIN_D,,
PDU,GND,J2,17,MAIN_D,,
PDU,GND,J2,18,MAIN_D,,
PDU,GND,J2,19,MAIN_D,,
PDU,GND,J2,20,MAIN_D,,
PDU,GND,J2,21,MAIN_D,,
PDU,GND,J2,22,MAIN_D,,
PDU,GND,J2,23,MAIN_D,,
